=== LOG FILE ANALYSIS ===
Total number of requests: 10000
Number of GET requests: 9952
Number of POST requests: 5
Unique IP addresses: 1753
GET and POST count per IP:
50.131.220.143: Total=7, GET=0, POST=0
195.122.146.186: Total=1, GET=0, POST=0
31.208.44.206: Total=9, GET=0, POST=0
204.93.54.173: Total=2, GET=0, POST=0
24.130.53.65: Total=6, GET=0, POST=0
64.131.102.243: Total=8, GET=0, POST=0
5.56.158.218: Total=6, GET=0, POST=0
113.212.70.121: Total=3, GET=0, POST=0
88.80.20.186: Total=2, GET=0, POST=0
222.77.201.107: Total=4, GET=0, POST=0
80.28.130.108: Total=6, GET=0, POST=0
87.64.176.135: Total=5, GET=0, POST=0
74.125.176.146: Total=9, GET=0, POST=0
204.62.56.3: Total=34, GET=0, POST=0
74.208.172.133: Total=1, GET=0, POST=0
50.8.159.176: Total=7, GET=0, POST=0
180.76.6.156: Total=2, GET=0, POST=0
65.52.104.233: Total=5, GET=0, POST=0
210.71.251.31: Total=6, GET=0, POST=0
50.158.157.89: Total=8, GET=0, POST=0
41.141.61.166: Total=1, GET=0, POST=0
79.114.119.129: Total=1, GET=0, POST=0
109.189.132.223: Total=6, GET=0, POST=0
123.125.71.117: Total=1, GET=0, POST=0
78.19.193.147: Total=6, GET=0, POST=0
207.241.237.224: Total=12, GET=0, POST=0
184.154.88.108: Total=2, GET=0, POST=0
178.32.51.157: Total=6, GET=0, POST=0
8.35.201.55: Total=1, GET=0, POST=0
81.157.147.252: Total=6, GET=0, POST=0
115.188.97.115: Total=1, GET=0, POST=0
190.82.255.69: Total=6, GET=0, POST=0
185.5.156.107: Total=1, GET=0, POST=0
61.174.9.96: Total=1, GET=0, POST=0
93.129.45.32: Total=2, GET=0, POST=0
198.167.137.193: Total=2, GET=0, POST=0
185.5.152.85: Total=1, GET=0, POST=0
46.5.254.123: Total=7, GET=0, POST=0
202.65.36.249: Total=1, GET=0, POST=0
174.51.6.146: Total=6, GET=0, POST=0
180.76.5.194: Total=1, GET=0, POST=0
184.154.170.122: Total=2, GET=0, POST=0
24.0.194.37: Total=32, GET=0, POST=0
180.76.6.17: Total=1, GET=0, POST=0
213.17.226.11: Total=6, GET=0, POST=0
83.175.127.2: Total=6, GET=0, POST=0
115.77.7.145: Total=7, GET=0, POST=0
74.80.168.244: Total=2, GET=0, POST=0
23.92.61.96: Total=2, GET=0, POST=0
87.219.103.122: Total=2, GET=0, POST=0
69.171.248.4: Total=1, GET=0, POST=0
54.234.1.193: Total=1, GET=0, POST=0
122.166.142.108: Total=34, GET=0, POST=0
66.249.73.185: Total=56, GET=0, POST=0
188.192.27.241: Total=8, GET=0, POST=0
212.234.218.51: Total=1, GET=0, POST=0
97.74.24.112: Total=2, GET=0, POST=0
217.69.133.70: Total=4, GET=0, POST=0
203.116.59.13: Total=1, GET=0, POST=0
192.185.81.134: Total=1, GET=0, POST=0
83.253.123.163: Total=7, GET=0, POST=0
180.235.148.243: Total=1, GET=0, POST=0
82.38.225.83: Total=1, GET=0, POST=0
62.245.76.5: Total=2, GET=0, POST=0
2.137.32.153: Total=6, GET=0, POST=0
8.35.201.52: Total=1, GET=0, POST=0
77.0.42.68: Total=6, GET=0, POST=0
178.24.154.17: Total=1, GET=0, POST=0
86.1.76.62: Total=6, GET=0, POST=0
46.105.14.53: Total=364, GET=0, POST=0
180.76.5.187: Total=1, GET=0, POST=0
216.143.11.118: Total=7, GET=0, POST=0
131.107.160.94: Total=1, GET=0, POST=0
61.140.183.41: Total=32, GET=0, POST=0
212.51.173.12: Total=27, GET=0, POST=0
199.247.189.63: Total=6, GET=0, POST=0
27.251.237.154: Total=7, GET=0, POST=0
208.43.255.28: Total=7, GET=0, POST=0
119.63.196.16: Total=1, GET=0, POST=0
66.249.73.135: Total=482, GET=0, POST=0
50.180.79.170: Total=2, GET=0, POST=0
5.144.176.206: Total=2, GET=0, POST=0
78.46.140.200: Total=2, GET=0, POST=0
106.187.98.170: Total=1, GET=0, POST=0
211.150.124.10: Total=1, GET=0, POST=0
199.102.67.16: Total=1, GET=0, POST=0
74.125.176.81: Total=1, GET=0, POST=0
62.159.77.167: Total=6, GET=0, POST=0
180.169.2.99: Total=1, GET=0, POST=0
193.24.88.211: Total=7, GET=0, POST=0
184.154.153.210: Total=2, GET=0, POST=0
180.76.5.71: Total=1, GET=0, POST=0
93.114.45.13: Total=6, GET=0, POST=0
157.56.229.247: Total=3, GET=0, POST=0
88.198.156.152: Total=1, GET=0, POST=0
5.144.176.110: Total=2, GET=0, POST=0
85.248.108.8: Total=6, GET=0, POST=0
193.252.118.167: Total=2, GET=0, POST=0
117.7.102.100: Total=1, GET=0, POST=0
222.14.252.108: Total=26, GET=0, POST=0
107.170.40.203: Total=4, GET=0, POST=0
